"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-06",,,"0.00","0.0","0.0","64","28","59",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-07",,,"2.10","0.0","0.0","65","43","60",,,,"    1",,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-08",,,"0.41","0.0","0.0","66","50","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-09",,,"0.00","0.0","0.0","58","38","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-10",,,"0.00","0.0","0.0","75","43","66",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-11",,,"0.00","0.0","0.0","66","43","52",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-12",,,"1.90","0.0","0.0","63","42","60",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-13",,,"0.00","0.0","0.0","62","45","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-14",,,"0.00","0.0","0.0","58","32","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-15",,,"0.00","0.0","0.0","63","37","54",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-16",,,"0.62","0.0","0.0","65","54","58",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-17",,,"1.80","0.0","0.0","60","42","43",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-18",,,"0.00","0.0","0.0","56","30","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-19",,,"0.03","0.0","0.0","54","39","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-20",,,"1.20","0.0","0.0","67","51","60",,,,,,
